Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
dmd,"(83.54, 0.0)","(82.95, 0.0)","(82.53, 0.0)","(81.71, 0.0)","(55.1, 0.0)","(53.62, 0.0)","(55.87, 0.0)","(74.37, 0.0)","(55.86, 0.0)"
dmd,"(78.13, 0.0)","(79.02, 0.0)","(83.82, 0.0)","(83.98, 0.0)","(54.28, 0.0)","(52.56, 0.0)","(53.56, 0.0)","(76.39, 0.0)","(53.64, 0.0)"
dmd,"(81.13, 0.0)","(81.62, 0.0)","(84.98, 0.0)","(84.93, 0.0)","(53.83, 0.0)","(51.84, 0.0)","(53.98, 0.0)","(76.34, 0.0)","(54.07, 0.0)"
dmd,"(81.52, 0.0)","(81.99, 0.0)","(84.81, 0.0)","(84.79, 0.0)","(55.36, 0.0)","(53.79, 0.0)","(53.61, 0.0)","(75.72, 0.0)","(53.66, 0.0)"
dmd,"(81.8, 0.0)","(82.25, 0.0)","(85.09, 0.0)","(85.06, 0.0)","(54.05, 0.0)","(52.31, 0.0)","(53.93, 0.0)","(76.27, 0.0)","(53.95, 0.0)"
dmd,"(80.92, 0.0)","(81.51, 0.0)","(85.11, 0.0)","(85.14, 0.0)","(54.07, 0.0)","(52.56, 0.0)","(54.03, 0.0)","(76.04, 0.0)","(54.08, 0.0)"
dmd,"(64.76, 0.0)","(64.72, 0.0)","(63.9, 0.0)","(62.55, 0.0)","(42.07, 0.0)","(42.07, 0.0)","(81.21, 0.0)","(21.96, 0.0)","(81.12, 0.0)"
dmd,"(82.53, 0.0)","(82.84, 0.0)","(84.37, 0.0)","(84.29, 0.0)","(52.39, 0.0)","(50.7, 0.0)","(57.7, 0.0)","(72.56, 0.0)","(57.75, 0.0)"
dmd,"(81.71, 0.0)","(82.21, 0.0)","(85.09, 0.0)","(85.09, 0.0)","(53.87, 0.0)","(52.76, 0.0)","(55.11, 0.0)","(74.45, 0.0)","(55.1, 0.0)"
dmd,"(82.25, 0.0)","(82.63, 0.0)","(85.14, 0.0)","(85.08, 0.0)","(54.17, 0.0)","(52.31, 0.0)","(53.86, 0.0)","(77.23, 0.0)","(53.94, 0.0)"
dmd,"(81.33, 0.0)","(81.89, 0.0)","(85.25, 0.0)","(85.28, 0.0)","(53.96, 0.0)","(51.94, 0.0)","(54.11, 0.0)","(76.55, 0.0)","(54.24, 0.0)"
dmd,"(82.25, 0.0)","(82.63, 0.0)","(85.14, 0.0)","(85.08, 0.0)","(54.17, 0.0)","(52.31, 0.0)","(53.86, 0.0)","(77.23, 0.0)","(53.94, 0.0)"
dmd,"(81.33, 0.0)","(81.89, 0.0)","(85.25, 0.0)","(85.28, 0.0)","(53.96, 0.0)","(51.94, 0.0)","(54.11, 0.0)","(76.55, 0.0)","(54.24, 0.0)"
